,id,ip,date,method,route,protocol,status,size
0,0,192.168.35.32,2026-08-06 22:15:26-03:00,POST,/health,HTTP/1.1,200,2542
1,1,192.168.61.58,2026-08-06 22:15:29-03:00,GET,/health,HTTP/1.1,200,1077
2,2,192.168.55.156,2026-08-06 22:15:30-03:00,GET,/api/users,HTTP/1.1,200,715
3,3,192.168.55.156,2026-08-06 22:15:34-03:00,POST,/health,HTTP/1.1,200,886
4,4,192.168.196.84,2026-08-06 22:15:35-03:00,POST,/api/products,HTTP/1.1,200,947
5,5,192.168.207.120,2026-08-06 22:15:39-03:00,GET,/api/users,HTTP/2,404,2424
6,6,192.168.91.81,2026-08-06 22:15:39-03:00,GET,/api/users/8,HTTP/1.1,200,1518
7,7,192.168.35.32,2026-08-06 22:15:44-03:00,PUT,/health,HTTP/2,200,3438
8,8,192.168.55.156,2026-08-06 22:15:46-03:00,POST,/health,HTTP/1.1,200,249
9,9,192.168.115.85,2026-08-06 22:15:51-03:00,GET,/health,HTTP/1.1,500,3816
10,10,192.168.195.109,2026-08-06 22:15:51-03:00,GET,/api/users,HTTP/2,200,3317
11,11,192.168.41.129,2026-08-06 22:15:51-03:00,GET,/health,HTTP/2,200,2176
12,12,192.168.55.156,2026-08-06 22:15:54-03:00,GET,/health,HTTP/1.1,200,2810
13,13,192.168.115.85,2026-08-06 22:15:58-03:00,GET,/api/auth/login,HTTP/1.1,200,1304
14,14,192.168.162.5,2026-08-06 22:16:00-03:00,PUT,/api/users,HTTP/1.1,200,1532
15,15,192.168.104.235,2026-08-06 22:16:00-03:00,POST,/api/users,HTTP/1.1,404,1488
16,16,192.168.104.31,2026-08-06 22:16:03-03:00,PATCH,/api/users,HTTP/1.1,200,3336
17,17,192.168.181.124,2026-08-06 22:16:08-03:00,PUT,/api/users/4,HTTP/1.1,200,1584
18,18,192.168.181.124,2026-08-06 22:16:09-03:00,GET,/health,HTTP/1.1,200,3878
